mle_id,eval_month_seq,hire_date,eval_date,last_commit_timestamp,department_team,education_level,prior_experience_years,raw_salary_krw,primary_framework,skills_list,mentor_id,candidate_source,code_commits_cnt,prs_merged_cnt,activity_json,probation_status,eval_performance_score,eval_competency_score,eval_attitude_score
MLE-2023-0001,1,2023-01-13,2023-02-12,2023-02-10 21:00:00+09:00,Computer Vision,Master,8.3,"₩128,478,673",PyTorch,SQL;Docker;PyTorch,MNT-120,Referral,43,18,"{""github_stars"": 301, ""paper_citations"": 35, ""certifications"": [""AWS-ML""], ""weekly_1on1_attended"": true}",In_Probation,86.89,88.66,80.41
MLE-2023-0001,2,2023-01-13,2023-03-14,2023-03-13 02:00:00+09:00,Computer Vision,Master,8.3,"₩128,478,673",PyTorch,SQL;Docker;PyTorch,MNT-120,Referral,33,8,"{""github_stars"": 194, ""paper_citations"": 12, ""certifications"": [""AWS-ML"", ""CKAD""], ""weekly_1on1_attended"": false}",In_Probation,88.44,95.4,87.3
MLE-2023-0001,3,2023-01-13,2023-04-13,2023-04-11 13:00:00+09:00,Computer Vision,Master,8.3,"₩128,478,673",PyTorch,SQL;Docker;PyTorch,MNT-120,Referral,40,20,"{""github_stars"": 40, ""paper_citations"": 70, ""certifications"": [""AWS-ML"", ""CKAD""], ""weekly_1on1_attended"": false}",Passed,90.68,97.58,79.1
MLE-2023-0002,1,2024-01-31,2024-03-01,2024-02-28 07:00:00+09:00,Computer Vision,Bachelor,4.9,"₩96,928,882",JAX,Docker;Kubeflow;SQL;CUDA;JAX,MNT-118,Direct Apply,86,11,"{""github_stars"": 350, ""paper_citations"": 41, ""certifications"": [""AWS-ML""], ""weekly_1on1_attended"": true}",In_Probation,70.68,75.52,93.45
MLE-2023-0002,2,2024-01-31,2024-03-31,2024-03-30 19:00:00+09:00,Computer Vision,Bachelor,4.9,"₩96,928,882",JAX,Docker;Kubeflow;SQL;CUDA;JAX,MNT-118,Direct Apply,47,24,"{""github_stars"": 161, ""paper_citations"": 27, ""certifications"": [""GCP-Data-Engineer""], ""weekly_1on1_attended"": false}",In_Probation,73.81,77.22,90.35
MLE-2023-0002,3,2024-01-31,2024-04-30,2024-04-29 15:00:00+09:00,Computer Vision,Bachelor,4.9,"₩96,928,882",JAX,Docker;Kubeflow;SQL;CUDA;JAX,MNT-118,Direct Apply,56,25,"{""github_stars"": 275, ""paper_citations"": 33, ""certifications"": [], ""weekly_1on1_attended"": false}",Passed,76.44,78.27,91.27
MLE-2023-0003,1,2023-09-18,2023-10-18,2023-10-17 13:00:00+09:00,MLOps & Platform,Bachelor,2.3,"₩83,406,083",PyTorch,Ray;Git;Kubeflow;CUDA;Python;PyTorch,MNT-104,Agency,73,4,"{""github_stars"": 134, ""paper_citations"": 64, ""certifications"": [""CKAD""], ""weekly_1on1_attended"": true}",In_Probation,91.48,67.29,71.94
MLE-2023-0003,2,2023-09-18,2023-11-17,2023-11-15 09:00:00+09:00,MLOps & Platform,Bachelor,2.3,"₩83,406,083",PyTorch,Ray;Git;Kubeflow;CUDA;Python;PyTorch,MNT-104,Agency,45,10,"{""github_stars"": 191, ""paper_citations"": 20, ""certifications"": [], ""weekly_1on1_attended"": true}",In_Probation,91.27,71.82,65.61
MLE-2023-0003,3,2023-09-18,2023-12-17,2023-12-16 00:00:00+09:00,MLOps & Platform,Bachelor,2.3,"₩83,406,083",PyTorch,Ray;Git;Kubeflow;CUDA;Python;PyTorch,MNT-104,Agency,64,15,"{""github_stars"": 29, ""paper_citations"": 30, ""certifications"": [], ""weekly_1on1_attended"": true}",Extended,88.63,74.79,65.1
MLE-2023-0004,1,2023-03-07,2023-04-06,2023-04-04 10:00:00+09:00,MLOps & Platform,,7.5,"₩127,671,247",TensorFlow,Ray;Spark;Git;Kubeflow;TensorFlow,MNT-108,Direct Apply,43,4,"{""github_stars"": 36, ""paper_citations"": 80, ""certifications"": [""AWS-ML""], ""weekly_1on1_attended"": true}",In_Probation,61.54,57.59,77.35
MLE-2023-0004,2,2023-03-07,2023-05-06,2023-05-04 15:00:00+09:00,MLOps & Platform,,7.5,"₩127,671,247",TensorFlow,Ray;Spark;Git;Kubeflow;TensorFlow,MNT-108,Direct Apply,50,14,"{""github_stars"": 342, ""paper_citations"": 62, ""certifications"": [""CKAD""], ""weekly_1on1_attended"": true}",In_Probation,70.6,67.4,80.3
MLE-2023-0004,3,2023-03-07,2023-06-05,2023-06-04 08:00:00+09:00,MLOps & Platform,,7.5,"₩127,671,247",TensorFlow,Ray;Spark;Git;Kubeflow;TensorFlow,MNT-108,Direct Apply,85,21,"{""github_stars"": 97, ""paper_citations"": 12, ""certifications"": [""AWS-ML""], ""weekly_1on1_attended"": false}",Extended,69.41,66.63,83.75
MLE-2023-0005,1,2023-12-11,2024-01-10,2024-01-09 18:00:00+09:00,Search & RecSys,Bachelor,10.4,"₩145,726,486",TensorFlow,PyTorch;Kubeflow;Git;SQL;Python;TensorFlow,MNT-128,Referral,45,9,"{""github_stars"": 208, ""paper_citations"": 62, ""certifications"": [""GCP-Data-Engineer""], ""weekly_1on1_attended"": true}",In_Probation,71.34,100.0,85.24
MLE-2023-0005,2,2023-12-11,2024-02-09,2024-02-08 23:00:00+09:00,Search & RecSys,Bachelor,10.4,"₩145,726,486",TensorFlow,PyTorch;Kubeflow;Git;SQL;Python;TensorFlow,MNT-128,Referral,69,14,"{""github_stars"": 232, ""paper_citations"": 36, ""certifications"": [""GCP-Data-Engineer""], ""weekly_1on1_attended"": false}",In_Probation,66.74,100.0,94.89
MLE-2023-0005,3,2023-12-11,2024-03-10,2024-03-08 10:00:00+09:00,Search & RecSys,Bachelor,10.4,"₩145,726,486",TensorFlow,PyTorch;Kubeflow;Git;SQL;Python;TensorFlow,MNT-128,Referral,94,9,"{""github_stars"": 160, ""paper_citations"": 7, ""certifications"": [""AWS-ML""], ""weekly_1on1_attended"": false}",Passed,72.72,100.0,85.15
MLE-2023-0004,2,2023-03-07,2023-05-06,2023-05-04 15:00:00+09:00,MLOps & Platform,,7.5,"₩127,671,247",TensorFlow,Ray;Spark;Git;Kubeflow;TensorFlow,MNT-108,Direct Apply,50,14,"{""github_stars"": 342, ""paper_citations"": 62, ""certifications"": [""CKAD""], ""weekly_1on1_attended"": true}",In_Probation,70.6,67.4,80.3
MLE-2023-0006,1,2024-03-11,2024-04-10,2024-04-09 08:00:00+09:00,LLM & Generative AI,Bachelor,3.2,"₩84,730,808",None,FastAPI;SQL,MNT-119,Agency,48,16,"{""github_stars"": 67, ""paper_citations"": 38, ""certifications"": [""GCP-Data-Engineer""], ""weekly_1on1_attended"": false}",In_Probation,98.93,67.86,79.18
MLE-2023-0006,2,2024-03-11,2024-05-10,2024-05-08 08:00:00+09:00,LLM & Generative AI,Bachelor,3.2,"₩84,730,808",None,FastAPI;SQL,MNT-119,Agency,92,9,"{""github_stars"": 37, ""paper_citations"": 68, ""certifications"": [""CKAD""], ""weekly_1on1_attended"": false}",In_Probation,93.47,66.16,79.89
MLE-2023-0006,3,2024-03-11,2024-06-09,2024-06-08 08:00:00+09:00,LLM & Generative AI,Bachelor,3.2,"₩84,730,808",None,FastAPI;SQL,MNT-119,Agency,72,17,"{""github_stars"": 80, ""paper_citations"": 56, ""certifications"": [], ""weekly_1on1_attended"": false}",Passed,100.0,74.27,86.91
MLE-2023-0007,1,2023-12-08,2024-01-07,2024-01-06 20:00:00+09:00,Core Data Science,PhD,10.6,"₩152,255,685",None,Kubeflow;FastAPI;Docker,MNT-107,Agency,26,17,"{""github_stars"": 141, ""paper_citations"": 5, ""certifications"": [""AWS-ML""], ""weekly_1on1_attended"": false}",In_Probation,87.39,74.74,88.93
